2016-10-17 17:55:56 -0700
17:55:56:0.048535: LittleFrame.log: I:100{A:70/70,U:10/10}
17:55:56:0.049536: LittleFrame.log: IN:{"food"=>200, "shelter"=>200, "health"=>20, "acquisition"=>40, "role"=>70, "audit"=>20, "equipment"=>180, "security"=>30, "data"=>160, "ojt"=>140, "professional"=>80, "formal"=>40}
17:55:56:0.050537: LittleFrame.log: service0:{"food"=>2.857142857142857, "shelter"=>2.857142857142857, "health"=>0.2857142857142857, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.2857142857142857, "equipment"=>2.5714285714285716, "security"=>0.42857142857142855, "data"=>2.2857142857142856, "ojt"=>0.0, "professional"=>1.1428571428571428, "formal"=>0.0}
17:55:56:0.051537: LittleFrame.log: service10:{"food"=>2.857142857142857, "shelter"=>2.857142857142857, "health"=>0.28571428571428575, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.28571428571428575, "equipment"=>2.571428571428571, "security"=>0.4285714285714286, "data"=>2.285714285714286, "ojt"=>0.0, "professional"=>1.142857142857143, "formal"=>0.0}
17:55:56:0.052537: LittleFrame.log: service20:{"food"=>2.857142857142857, "shelter"=>2.857142857142857, "health"=>0.28571428571428575, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.28571428571428575, "equipment"=>2.571428571428571, "security"=>0.4285714285714286, "data"=>2.285714285714286, "ojt"=>0.0, "professional"=>1.142857142857143, "formal"=>0.0}
17:55:56:0.053538: LittleFrame.log: administration25:{"food"=>2.8571428571428568, "shelter"=>2.8571428571428568, "health"=>0.28571428571428575, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.28571428571428575, "equipment"=>2.5714285714285707, "security"=>0.42857142857142866, "data"=>2.285714285714286, "ojt"=>0.0, "professional"=>1.142857142857143, "formal"=>0.0}
17:55:56:0.053538: LittleFrame.log: administration30:{"food"=>2.8571428571428568, "shelter"=>2.8571428571428568, "health"=>0.28571428571428575, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.28571428571428575, "equipment"=>2.5714285714285707, "security"=>0.42857142857142866, "data"=>2.285714285714286, "ojt"=>0.0, "professional"=>1.142857142857143, "formal"=>0.0}
17:55:56:0.057543: LittleFrame.log: administration35:{"food"=>2.8571428571428568, "shelter"=>2.8571428571428568, "health"=>0.2857142857142858, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.2857142857142858, "equipment"=>2.5714285714285703, "security"=>0.4285714285714287, "data"=>2.2857142857142865, "ojt"=>0.0, "professional"=>1.1428571428571432, "formal"=>0.0}
17:55:56:0.058542: LittleFrame.log: technical40:{"food"=>2.8571428571428568, "shelter"=>2.8571428571428568, "health"=>0.2857142857142858, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.2857142857142858, "equipment"=>2.5714285714285703, "security"=>0.4285714285714287, "data"=>2.2857142857142865, "ojt"=>0.0, "professional"=>1.1428571428571432, "formal"=>0.0}
17:55:56:0.058542: LittleFrame.log: technical45:{"food"=>2.8571428571428568, "shelter"=>2.8571428571428568, "health"=>0.2857142857142858, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.2857142857142858, "equipment"=>2.5714285714285703, "security"=>0.4285714285714287, "data"=>2.2857142857142865, "ojt"=>0.0, "professional"=>1.1428571428571432, "formal"=>0.0}
17:55:56:0.059541: LittleFrame.log: technical50:{"food"=>2.8571428571428568, "shelter"=>2.8571428571428568, "health"=>0.28571428571428586, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.28571428571428586, "equipment"=>2.57142857142857, "security"=>0.42857142857142877, "data"=>2.285714285714287, "ojt"=>0.0, "professional"=>1.1428571428571435, "formal"=>0.0}
17:55:56:0.060542: LittleFrame.log: training55:{"food"=>2.8571428571428568, "shelter"=>2.8571428571428568, "health"=>0.28571428571428586, "acquisition"=>0.0, "role"=>0.0, "audit"=>0.28571428571428586, "equipment"=>2.57142857142857, "security"=>0.42857142857142877, "data"=>2.285714285714287, "ojt"=>0.0, "professional"=>1.1428571428571435, "formal"=>0.0}
