type,run,attempts,successes,
combination0111,0,0,0,
combination0111,1,0,0,
combination0111,2,0,0,
combination0111,3,7,4,
combination0111,4,4,2,
combination0111,5,2,0,
combination0111,6,2,0,
combination0111,7,2,0,
combination0111,8,4,2,
combination0111,9,4,1,
combination0111,10,2,0,
combination0111,11,2,0,
combination0111,12,3,0,
combination0111,13,3,0,
combination0111,14,2,0,
combination0111,15,3,0,
combination0111,16,4,3,
combination0111,17,1,0,
combination0111,18,1,0,
combination0111,19,1,0,
combination0111,20,1,0,
combination0111,21,1,0,
combination0111,22,1,0,
combination0111,23,1,0,
combination0111,24,2,1,
combination0111,25,1,0,
combination0111,26,1,0,
combination0111,27,1,1,
combination0111,28,1,0,
combination0111,29,1,0,
combination0111,30,1,0,
combination0111,31,1,0,
combination0111,32,1,1,
combination0111,33,1,0,
combination0111,34,1,1,
combination0111,35,0,0,
combination0111,36,0,0,
combination0111,37,0,0,
combination0111,38,1,1,
combination0111,39,1,0,
combination0111,40,4,2,
combination0111,41,4,1,
combination0111,42,4,1,
combination0111,43,3,0,
combination0111,44,3,2,
combination0111,45,1,0,
combination0111,46,1,0,
combination0111,47,3,2,
combination0111,48,2,1,
combination0111,49,1,1,
combination0111,50,0,0,
combination0111,51,0,0,
combination0111,52,0,0,
combination0111,53,0,0,
combination0111,54,0,0,
combination0111,55,0,0,
combination0111,56,0,0,
combination0111,57,1,1,
combination0111,58,0,0,
combination0111,59,0,0,
combination0111,60,0,0,
combination0111,61,0,0,
combination0111,62,0,0,
combination0111,63,0,0,
combination0111,64,0,0,
combination0111,65,0,0,
combination0111,66,0,0,
combination0111,67,0,0,
combination0111,68,0,0,
combination0111,69,0,0,
combination0111,70,0,0,
combination0111,71,0,0,
combination0111,72,0,0,
combination0111,73,0,0,
combination0111,74,0,0,
combination0111,75,0,0,
combination0111,76,0,0,
combination0111,77,0,0,
combination0111,78,0,0,
combination0111,79,0,0,
combination0111,80,0,0,
combination0111,81,0,0,
combination0111,82,0,0,
combination0111,83,0,0,
combination0111,84,0,0,
combination0111,85,0,0,
combination0111,86,1,1,
combination0111,87,0,0,
combination0111,88,0,0,
combination0111,89,0,0,
combination0111,90,0,0,
combination0111,91,0,0,
combination0111,92,0,0,
combination0111,93,0,0,
combination0111,94,0,0,
combination0111,95,0,0,
combination0111,96,0,0,
combination0111,97,0,0,
combination0111,98,0,0,
combination0111,99,0,0,
combination0111,100,0,0,
combination0111,101,0,0,
combination0111,102,0,0,
combination0111,103,1,0,
combination0111,104,0,0,
combination0111,105,0,0,
combination0111,106,1,1,
combination0111,107,1,1,
combination0111,108,2,2,
combination0111,109,1,1,
combination0111,110,1,0,
combination0111,111,2,2,
combination0111,112,1,1,
combination0111,113,3,3,
combination0111,114,0,0,
combination0111,115,0,0,
combination0111,116,0,0,
combination0111,117,0,0,
combination0111,118,0,0,
combination0111,119,0,0,
combination0111,120,0,0,
combination0111,121,0,0,
combination0111,122,0,0,
combination0111,123,1,1,
combination0111,124,0,0,
combination0111,125,0,0,
combination0111,126,0,0,
combination0111,127,0,0,
combination0111,128,0,0,
combination0111,129,1,1,
combination0111,130,1,0,
combination0111,131,2,1,
combination0111,132,1,1,
combination0111,133,0,0,
combination0111,134,0,0,
combination0111,135,0,0,
combination0111,136,0,0,
combination0111,137,0,0,
combination0111,138,0,0,
combination0111,139,0,0,
combination0111,140,1,0,
combination0111,141,4,3,
combination0111,142,1,1,
combination0111,143,1,1,
combination0111,144,2,2,
combination0111,145,1,1,
combination0111,146,0,0,
combination0111,147,0,0,
combination0111,148,0,0,
combination0111,149,0,0,
combination0111,150,0,0,
combination0111,151,0,0,
combination0111,152,0,0,
combination0111,153,0,0,
combination0111,154,0,0,
combination0111,155,0,0,
combination0111,156,0,0,
combination0111,157,0,0,
combination0111,158,0,0,
combination0111,159,0,0,
combination0111,160,0,0,
combination0111,161,0,0,
combination0111,162,0,0,
combination0111,163,0,0,
combination0111,164,0,0,
combination0111,165,0,0,
combination0111,166,0,0,
combination0111,167,0,0,
combination0111,168,0,0,
combination0111,169,0,0,
combination0111,170,0,0,
combination0111,171,1,1,
combination0111,172,0,0,
combination0111,173,0,0,
combination0111,174,0,0,
combination0111,175,1,0,
combination0111,176,1,1,
combination0111,177,2,0,
combination0111,178,8,6,
combination0111,179,6,5,
combination0111,180,3,3,
combination0111,181,3,2,
combination0111,182,6,4,
combination0111,183,5,1,
combination0111,184,6,3,
combination0111,185,6,4,
combination0111,186,3,1,
combination0111,187,3,1,
combination0111,188,2,1,
combination0111,189,1,0,
combination0111,190,1,0,
combination0111,191,1,0,
combination0111,192,1,1,
combination0111,193,0,0,
combination0111,194,1,0,
combination0111,195,1,0,
combination0111,196,3,1,
combination0111,197,2,0,
combination0111,198,3,2,
combination0111,199,1,0,
combination0111,200,1,0,
combination0111,201,1,0,
combination0111,202,2,1,
combination0111,203,1,0,
combination0111,204,2,1,
combination0111,205,1,0,
combination0111,206,1,0,
combination0111,207,1,1,
combination0111,208,1,1,
combination0111,209,0,0,
combination0111,210,0,0,
combination0111,211,0,0,
combination0111,212,0,0,
combination0111,213,0,0,
combination0111,214,0,0,
combination0111,215,0,0,
combination0111,216,0,0,
combination0111,217,0,0,
