type,run,food_orig,food_from,food_to,shelter_orig,shelter_from,shelter_to,health_orig,health_from,health_to,acquisition_orig,acquisition_from,acquisition_to,role_orig,role_from,role_to,audit_orig,audit_from,audit_to,equipment_orig,equipment_from,equipment_to,security_orig,security_from,security_to,data_orig,data_from,data_to,ojt_orig,ojt_from,ojt_to,professional_orig,professional_from,professional_to,formal_orig,formal_from,formal_to,
combination0111,0,8,0,0,7,0,0,5,0,0,8,0,0,8,0,0,7,0,0,5,0,0,2,0,0,6,0,0,5,0,0,7,0,0,2,0,0,70,
combination0111,1,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
combination0111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
combination0111,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,
combination0111,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,0,
combination0111,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
combination0111,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
combination0111,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
combination0111,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
combination0111,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
combination0111,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
